"timestamps","open","high","low","close","volume","amount"
"2025-12-17","3.978","4.005","3.953","3.98","1000000","3980000"
"2025-12-19","3.983","4.01","3.958","3.985","1001200","3989782"
"2025-12-22","3.989","4.016","3.964","3.991","1002400","4000578.4"
"2025-12-26","3.993","4.021","3.968","3.996","1003600","4010385.6"
"2025-12-31","3.997","4.025","3.972","4","1004800","4019200"
"2026-01-06","4","4.029","3.975","4.004","1006000","4028024"
"2026-01-13","4.003","4.033","3.978","4.008","1007200","4036857.6"
"2026-01-21","4.004","4.035","3.979","4.01","1008400","4043684"
"2026-01-30","4.005","4.037","3.98","4.012","1009600","4050515.2"
"2026-02-09","4.006","4.039","3.981","4.014","1010800","4057351.2"
"2026-02-20","4.005","4.039","3.98","4.014","1012000","4062168"
"2026-03-04","4.004","4.039","3.979","4.014","1013200","4066984.8"
"2026-03-17","4.004","4.039","3.979","4.014","1014400","4071801.6"
"2026-03-31","4.002","4.038","3.977","4.013","1015600","4075602.8"
"2026-04-15","3.999","4.036","3.974","4.011","1016800","4078384.8"
"2026-05-01","3.997","4.035","3.972","4.01","1018000","4082180"
"2026-05-18","3.995","4.033","3.97","4.008","1019200","4084953.6"
"2026-06-05","3.992","4.031","3.967","4.006","1020400","4087722.4"
"2026-06-24","3.99","4.029","3.965","4.004","1021600","4090486.4"
"2026-07-14","3.989","4.028","3.964","4.003","1022800","4094268.4"
"2026-08-04","3.988","4.027","3.963","4.002","1024000","4098048"
"2026-08-26","3.988","4.027","3.963","4.002","1025200","4102850.4"
"2026-09-18","3.989","4.027","3.964","4.002","1026400","4107652.8"
"2026-10-12","3.991","4.029","3.966","4.004","1027600","4114510.4"
"2026-11-06","3.993","4.03","3.968","4.005","1028800","4120344"
"2026-12-02","3.997","4.033","3.972","4.008","1030000","4128240"
"2026-12-29","4.001","4.036","3.976","4.011","1031200","4136143.2"
"2027-01-26","4.006","4.04","3.981","4.015","1032400","4145086"
"2027-02-24","4.011","4.044","3.986","4.019","1033600","4154038.4"
"2027-03-26","4.017","4.049","3.992","4.024","1034800","4164035.2"
"2027-04-26","4.023","4.054","3.998","4.029","1036000","4174044"
"2027-05-28","4.029","4.059","4.004","4.034","1037200","4184064.8"
"2027-06-30","4.035","4.065","4.01","4.04","1038400","4195136"
"2027-08-03","4.041","4.07","4.016","4.045","1039600","4205182"
"2027-09-07","4.047","4.075","4.022","4.05","1040800","4215240"
"2027-10-13","4.052","4.08","4.027","4.055","1042000","4225310"
"2027-11-19","4.057","4.084","4.032","4.059","1043200","4234348.8"
"2027-12-27","4.061","4.088","4.036","4.063","1044400","4243397.2"
"2028-02-04","4.064","4.091","4.039","4.066","1045600","4251409.6"
"2028-03-15","4.066","4.093","4.041","4.068","1046800","4258382.4"
"2028-04-25","4.068","4.095","4.043","4.07","1048000","4265360"
"2028-06-06","4.068","4.096","4.043","4.071","1049200","4271293.2"
"2028-07-19","4.068","4.096","4.043","4.071","1050400","4276178.4"
"2028-09-01","4.067","4.096","4.042","4.071","1051600","4281063.6"
"2028-10-16","4.065","4.095","4.04","4.07","1052800","4284896"
"2028-12-01","4.062","4.093","4.037","4.068","1054000","4287672"
"2029-01-17","4.06","4.092","4.035","4.067","1055200","4291498.4"
"2029-03-06","4.057","4.09","4.032","4.065","1056400","4294266"
"2029-04-24","4.054","4.088","4.029","4.063","1057600","4297028.8"
"2029-06-13","4.052","4.087","4.027","4.062","1058800","4300845.6"
"2029-08-03","4.049","4.085","4.024","4.06","1060000","4303600"
"2029-09-24","4.047","4.084","4.022","4.059","1061200","4307410.8"
"2029-11-16","4.047","4.084","4.022","4.059","1062400","4312281.6"
"2030-01-09","4.046","4.084","4.021","4.059","1063600","4317152.4"
"2030-03-05","4.047","4.085","4.022","4.06","1064800","4323088"
"2030-04-30","4.047","4.086","4.022","4.061","1066000","4329026"
"2030-06-26","4.049","4.088","4.024","4.063","1067200","4336033.6"
"2030-08-23","4.052","4.091","4.027","4.066","1068400","4344114.4"
"2030-10-21","4.056","4.095","4.031","4.07","1069600","4353272"
"2030-12-20","4.06","4.099","4.035","4.074","1070800","4362439.2"
"2031-02-19","4.065","4.103","4.04","4.078","1072000","4371616"
"2031-04-22","4.071","4.108","4.046","4.083","1073200","4381875.6"
"2031-06-24","4.077","4.114","4.052","4.089","1074400","4393221.6"
"2031-08-27","4.083","4.119","4.058","4.094","1075600","4403506.4"
"2031-10-31","4.089","4.124","4.064","4.099","1076800","4413803.2"
"2032-01-05","4.096","4.13","4.071","4.105","1078000","4425190"
"2032-03-12","4.101","4.134","4.076","4.109","1079200","4434432.8"
"2032-05-19","4.107","4.139","4.082","4.114","1080400","4444765.6"
"2032-07-27","4.112","4.143","4.087","4.118","1081600","4454028.8"
"2032-10-05","4.116","4.146","4.091","4.121","1082800","4462218.8"
"2032-12-15","4.12","4.149","4.095","4.124","1084000","4470416"
"2033-02-25","4.122","4.151","4.097","4.126","1085200","4477535.2"
"2033-05-09","4.124","4.152","4.099","4.127","1086400","4483572.8"
"2033-07-22","4.126","4.153","4.101","4.128","1087600","4489612.8"
"2033-10-05","4.125","4.152","4.1","4.127","1088800","4493477.6"
"2033-12-20","4.125","4.152","4.1","4.127","1090000","4498430"
"2034-03-07","4.124","4.151","4.099","4.126","1091200","4502291.2"
"2034-05-24","4.122","4.149","4.097","4.124","1092400","4505057.6"
"2034-08-11","4.119","4.147","4.094","4.122","1093600","4507819.2"
"2034-10-30","4.118","4.146","4.093","4.121","1094800","4511670.8"
"2035-01-19","4.115","4.144","4.09","4.119","1096000","4514424"
"2035-04-11","4.113","4.142","4.088","4.117","1097200","4517172.4"
"2035-07-03","4.111","4.141","4.086","4.116","1098400","4521014.4"
"2035-09-25","4.109","4.14","4.084","4.115","1099600","4524854"
"2035-12-19","4.108","4.14","4.083","4.115","1100800","4529792"
"2036-03-14","4.108","4.141","4.083","4.116","1102000","4535832"
"2036-06-09","4.108","4.142","4.083","4.117","1103200","4541874.4"
"2036-09-05","4.109","4.144","4.084","4.119","1104400","4549023.6"
"2036-12-03","4.11","4.146","4.085","4.121","1105600","4556177.6"
"2037-03-03","4.113","4.15","4.088","4.125","1106800","4565550"
"2037-06-02","4.115","4.153","4.09","4.128","1108000","4573824"
"2037-09-02","4.12","4.158","4.095","4.133","1109200","4584323.6"
"2037-12-04","4.124","4.163","4.099","4.138","1110400","4594835.2"
"2038-03-08","4.129","4.168","4.104","4.143","1111600","4605358.8"
"2038-06-11","4.134","4.173","4.109","4.148","1112800","4615894.4"
"2038-09-15","4.14","4.179","4.115","4.154","1114000","4627556"
"2038-12-21","4.145","4.184","4.12","4.159","1115200","4638116.8"
"2039-03-29","4.151","4.189","4.126","4.164","1116400","4648689.6"
"2039-07-06","4.156","4.194","4.131","4.169","1117600","4659274.4"
"2039-10-14","4.161","4.198","4.136","4.173","1118800","4668752.4"
"2040-01-23","4.165","4.201","4.14","4.176","1120000","4677120"
"2040-05-04","4.168","4.204","4.143","4.179","1121200","4685494.8"
"2040-08-15","4.172","4.207","4.147","4.182","1122400","4693876.8"
"2040-11-27","4.174","4.208","4.149","4.183","1123600","4700018.8"
"2041-03-12","4.176","4.209","4.151","4.184","1124800","4706163.2"
"2041-06-26","4.177","4.209","4.152","4.184","1126000","4711184"
"2041-10-11","4.178","4.209","4.153","4.184","1127200","4716204.8"
"2042-01-27","4.178","4.208","4.153","4.183","1128400","4720097.2"
"2042-05-16","4.177","4.206","4.152","4.181","1129600","4722857.6"
"2042-09-03","4.177","4.205","4.152","4.18","1130800","4726744"
"2042-12-23","4.175","4.203","4.15","4.178","1132000","4729496"
"2043-04-14","4.174","4.201","4.149","4.176","1133200","4732243.2"
"2043-08-05","4.172","4.199","4.147","4.174","1134400","4734985.6"
"2043-11-27","4.171","4.198","4.146","4.173","1135600","4738858.8"
"2044-03-21","4.17","4.197","4.145","4.172","1136800","4742729.6"
"2044-07-15","4.17","4.197","4.145","4.172","1138000","4747736"
"2044-11-09","4.169","4.197","4.144","4.172","1139200","4752742.4"
"2045-03-07","4.17","4.198","4.145","4.173","1140400","4758889.2"
"2045-07-04","4.17","4.199","4.145","4.174","1141600","4765038.4"
"2045-11-01","4.172","4.202","4.147","4.177","1142800","4773475.6"
