"timestamps","open","high","low","close","volume","amount"
"2025-01-02","1.834","1.859","1.799","1.834","1000000","1834000"
"2025-01-03","1.8406","1.8665","1.804","1.839","1002500","1843597.5"
"2025-01-06","1.8469","1.8737","1.8089","1.8438","1005000","1853019"
"2025-01-07","1.8529","1.8806","1.8137","1.8484","1007500","1862263"
"2025-01-08","1.8585","1.8871","1.8183","1.8528","1010000","1871328"
"2025-01-09","1.8634","1.8928","1.8224","1.8567","1012500","1879908.75"
"2025-01-10","1.8678","1.898","1.8263","1.8603","1015000","1888204.5"
"2025-01-13","1.8713","1.9022","1.8298","1.8634","1017500","1896009.5"
"2025-01-14","1.874","1.9056","1.8328","1.866","1020000","1903320"
"2025-01-15","1.8758","1.9081","1.8353","1.868","1022500","1910030"
"2025-01-16","1.8767","1.9096","1.8372","1.8694","1025000","1916135"
"2025-01-17","1.8767","1.9101","1.8386","1.8702","1027500","1921630.5"
"2025-01-20","1.8758","1.9097","1.8394","1.8704","1030000","1926512"
"2025-01-21","1.8741","1.9084","1.8396","1.87","1032500","1930775"
"2025-01-22","1.8717","1.9063","1.8393","1.869","1035000","1934415"
"2025-01-23","1.8685","1.9033","1.8384","1.8674","1037500","1937427.5"
"2025-01-24","1.8649","1.9003","1.8366","1.8654","1040000","1940016"
"2025-01-27","1.8609","1.8979","1.8333","1.8629","1042500","1942073.25"
"2025-01-28","1.8565","1.895","1.8296","1.86","1045000","1943700"
"2025-01-29","1.8518","1.8916","1.8257","1.8567","1047500","1944893.25"
"2025-01-30","1.8471","1.8879","1.8218","1.8532","1050000","1945860"
"2025-01-31","1.8426","1.884","1.8172","1.8496","1052500","1946704"
"2025-02-03","1.8382","1.8799","1.812","1.8458","1055000","1947319"
"2025-02-04","1.8341","1.8757","1.8071","1.842","1057500","1947915"
"2025-02-05","1.8303","1.8715","1.8026","1.8383","1060000","1948598"
"2025-02-06","1.827","1.8673","1.7985","1.8347","1062500","1949368.75"
"2025-02-07","1.8243","1.8634","1.7951","1.8314","1065000","1950441"
"2025-02-10","1.8222","1.8597","1.7924","1.8284","1067500","1951817"
"2025-02-11","1.8206","1.8563","1.7901","1.8257","1070000","1953499"
"2025-02-12","1.8198","1.8533","1.7887","1.8235","1072500","1955703.75"
"2025-02-13","1.8196","1.8508","1.7879","1.8218","1075000","1958435"
"2025-02-14","1.8199","1.8488","1.7876","1.8206","1077500","1961696.5"
"2025-02-17","1.8209","1.8482","1.7872","1.82","1080000","1965600"
"2025-02-18","1.8224","1.8488","1.7867","1.8199","1082500","1970041.75"
"2025-02-19","1.8245","1.85","1.7869","1.8205","1085000","1975242.5"
"2025-02-20","1.8269","1.8523","1.7876","1.8216","1087500","1980990"
"2025-02-21","1.8296","1.8559","1.789","1.8233","1090000","1987397"
"2025-02-24","1.8327","1.8599","1.7909","1.8255","1092500","1994358.75"
"2025-02-25","1.8359","1.864","1.7934","1.8282","1095000","2001879"
"2025-02-26","1.8394","1.8683","1.7965","1.8314","1097500","2009961.5"
"2025-02-27","1.8429","1.8726","1.8","1.835","1100000","2018500"
"2025-02-28","1.8465","1.877","1.804","1.839","1102500","2027497.5"
"2025-03-03","1.85","1.8813","1.8082","1.8432","1105000","2036736"
"2025-03-04","1.8535","1.8854","1.8127","1.8476","1107500","2046217"
"2025-03-05","1.8569","1.8895","1.8175","1.8522","1110000","2055942"
"2025-03-06","1.86","1.8931","1.8222","1.8567","1112500","2065578.75"
"2025-03-07","1.8631","1.8967","1.8271","1.8613","1115000","2075349.5"
"2025-03-10","1.8659","1.8999","1.8318","1.8657","1117500","2084919.75"
"2025-03-11","1.8685","1.9043","1.835","1.8699","1120000","2094288"
"2025-03-12","1.871","1.9086","1.8379","1.8739","1122500","2103452.75"
"2025-03-13","1.8731","1.9124","1.8405","1.8775","1125000","2112187.5"
"2025-03-14","1.8751","1.9157","1.843","1.8807","1127500","2120489.25"
"2025-03-17","1.877","1.9186","1.8455","1.8836","1130000","2128468"
"2025-03-18","1.8785","1.9208","1.8476","1.8859","1132500","2135781.75"
"2025-03-19","1.8799","1.9225","1.8496","1.8877","1135000","2142539.5"
"2025-03-20","1.8811","1.9237","1.8515","1.8891","1137500","2148851.25"
"2025-03-21","1.8821","1.9242","1.8532","1.8899","1140000","2154486"
"2025-03-24","1.8828","1.9241","1.8546","1.8902","1142500","2159553.5"
"2025-03-25","1.8833","1.9234","1.8558","1.8899","1145000","2163935.5"
"2025-03-26","1.8838","1.9223","1.8571","1.8893","1147500","2167971.75"
"2025-03-27","1.8838","1.9205","1.8578","1.8881","1150000","2171315"
"2025-03-28","1.8837","1.9183","1.8585","1.8866","1152500","2174306.5"
"2025-03-31","1.8835","1.9158","1.8579","1.8848","1155000","2176944"
"2025-04-01","1.883","1.9133","1.8564","1.8827","1157500","2179225.25"
"2025-04-02","1.8823","1.9118","1.8533","1.8804","1160000","2181264"
"2025-04-03","1.8814","1.9101","1.8502","1.878","1162500","2183175"
"2025-04-04","1.8803","1.9081","1.847","1.8756","1165000","2185074"
"2025-04-07","1.8791","1.906","1.8439","1.8732","1167500","2186961"
"2025-04-08","1.8778","1.9038","1.8409","1.8709","1170000","2188953"
"2025-04-09","1.8763","1.9014","1.8382","1.8688","1172500","2191168"
"2025-04-10","1.8748","1.9006","1.8357","1.8669","1175000","2193607.5"
"2025-04-11","1.8734","1.9001","1.8336","1.8654","1177500","2196508.5"
